tick,interferenceValue,spin,topologyType
74,0.50740,1,LowInterference
107,0.51544,1,LowInterference
156,0.53387,1,LowInterference
163,0.50812,1,LowInterference
164,0.52489,-1,LowInterference
165,0.50565,-1,LowInterference
167,0.50804,-1,LowInterference
168,0.56555,-1,LowInterference
169,0.52562,1,LowInterference
170,0.52259,1,LowInterference
171,0.52358,-1,LowInterference
175,0.51525,1,LowInterference
193,0.52757,-1,LowInterference
194,0.57806,1,LowInterference
195,0.61863,1,LowInterference
196,0.62333,-1,LowInterference
197,0.62990,-1,LowInterference
198,0.62961,1,LowInterference
199,0.57519,1,LowInterference
200,0.52913,-1,LowInterference
203,0.53463,-1,LowInterference
205,0.50494,1,LowInterference
210,0.51712,1,LowInterference
211,0.52883,1,LowInterference
281,0.50887,-1,LowInterference
297,0.52147,1,LowInterference
298,0.51674,1,LowInterference
299,0.50258,-1,LowInterference
301,0.53049,1,LowInterference
303,0.52904,-1,LowInterference
304,0.50163,1,LowInterference
306,0.51953,-1,LowInterference
307,0.51641,-1,LowInterference
308,0.50703,1,LowInterference
310,0.51113,1,LowInterference
314,0.50510,1,LowInterference
321,0.51780,1,LowInterference
337,0.52877,-1,LowInterference
338,0.55358,1,LowInterference
339,0.55495,-1,LowInterference
340,0.55967,1,LowInterference
341,0.54572,-1,LowInterference
342,0.58326,-1,LowInterference
343,0.56703,-1,LowInterference
344,0.50127,1,LowInterference
345,0.53998,1,LowInterference
346,0.53847,-1,LowInterference
347,0.51619,1,LowInterference
351,0.53361,1,LowInterference
352,0.58871,1,LowInterference
353,0.58363,1,LowInterference
354,0.58483,-1,LowInterference
355,0.56245,-1,LowInterference
356,0.57490,1,LowInterference
357,0.62596,1,LowInterference
358,0.61263,1,LowInterference
359,0.56959,-1,LowInterference
360,0.52827,1,LowInterference
361,0.53645,-1,LowInterference
362,0.50478,-1,LowInterference
431,0.52688,1,LowInterference
